model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma
simgp24,random,9,2,0.16654063273404507,0.8181818181818182,1.0,0.9,27,0.6385542168674698,0.33383389927165524,0.9411764705882353,0.40963855421686746,0.4,0.6,0.5
simgp_timeblind,random,9,2,0.21405433494746146,1.0,0.4074074074074074,0.5789473684210525,27,0.3132530120481928,0.2121033963746237,0.29411764705882354,0.3373493975903614,,,
mean_of_samples,random,9,2,0.2978202062955586,1.0,0.0,0.0,27,0.0,0.3266190078589675,0.0,0.0,,,
simgp24,random,10,2,0.16863281870706742,0.7714285714285715,1.0,0.870967741935484,27,0.5975609756097561,0.33588808519460944,0.9411764705882353,0.4024390243902439,0.4,0.6,0.5
simgp_timeblind,random,10,2,0.20496170918423026,1.0,0.4074074074074074,0.5789473684210525,27,0.3048780487804878,0.2078419207578468,0.29411764705882354,0.35365853658536583,,,
mean_of_samples,random,10,2,0.31732836127714487,1.0,0.0,0.0,27,0.0,0.3234077583707261,0.0,0.0,,,
simgp24,random,11,2,0.08549332929640145,0.9310344827586207,1.0,0.9642857142857143,27,0.9135802469135802,0.24331443220036955,0.9411764705882353,0.6049382716049383,0.4,0.6,0.5
simgp_timeblind,random,11,2,0.19800695348056063,1.0,0.4074074074074074,0.5789473684210525,27,0.2962962962962963,0.20832366272809205,0.29411764705882354,0.345679012345679,,,
mean_of_samples,random,11,2,0.32033678798524273,1.0,0.0,0.0,27,0.0,0.3227599352686537,0.0,0.0,,,
simgp24,random,12,2,0.19355333021106882,0.627906976744186,1.0,0.7714285714285715,27,0.3875,0.23550223724593286,0.9411764705882353,0.875,0.4,0.6,0.5
simgp_timeblind,random,12,2,0.19327327203311118,1.0,0.37037037037037035,0.5405405405405406,27,0.2875,0.20957101653443191,0.29411764705882354,0.3,,,
mean_of_samples,random,12,2,0.3237281608287313,1.0,0.0,0.0,27,0.0,0.3242183822575876,0.0,0.0,,,
simgp24,random,13,2,0.12873852510044853,0.9310344827586207,1.0,0.9642857142857143,27,0.6962025316455697,0.28977205982092796,0.8823529411764706,0.31645569620253167,0.4,0.6,0.5
simgp_timeblind,random,13,2,0.193686905507871,1.0,0.37037037037037035,0.5405405405405406,27,0.25316455696202533,0.20801289988752464,0.29411764705882354,0.26582278481012656,,,
mean_of_samples,random,13,2,0.32952044364244315,1.0,0.0,0.0,27,0.0,0.32314066487659004,0.0,0.0,,,
simgp24,random,14,2,0.1495404860144875,0.9,1.0,0.9473684210526316,27,0.6794871794871795,0.30603813178305905,0.8823529411764706,0.3076923076923077,0.4,0.6,0.5
