route,K,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,recall_min_all,precision_min_all,f1_min_all
optimised,5,0,0.057062612037306115,1.0,0.8888888888888888,0.9411764705882353,36,0.9885057471264368,0.7586206896551724,0.9540229885057471,1.0,0.06316852984829222,0.7142857142857143,0.9885057471264368,0.9024390243902439,1.0,0.9487179487179488
highest_demand,5,0,0.07859579510943837,1.0,0.8,0.888888888888889,40,1.0,0.5057471264367817,0.9310344827586207,1.0,0.12375209893713487,0.36666666666666664,0.9655172413793104,0.8048780487804879,1.0,0.8918918918918919
random,5,0,0.06331826160139278,0.972972972972973,0.972972972972973,0.972972972972973,37,1.0,0.7011494252873564,0.9080459770114943,1.0,0.05374060304951216,0.9285714285714286,0.9885057471264368,0.975609756097561,0.975609756097561,0.975609756097561
optimised,8,0,0.06515291019975558,1.0,0.8857142857142857,0.9393939393939393,35,0.9880952380952381,0.6309523809523809,0.8809523809523809,1.0,0.06522729582941329,0.7857142857142857,0.9880952380952381,0.9024390243902439,1.0,0.9487179487179488
highest_demand,8,0,0.07221814793796387,1.0,0.825,0.9041095890410958,40,0.9880952380952381,0.47619047619047616,0.9285714285714286,1.0,0.11802530776432575,0.36666666666666664,0.9404761904761905,0.8292682926829268,1.0,0.9066666666666667
random,8,0,0.051917426820206114,1.0,0.8421052631578947,0.9142857142857143,38,0.9761904761904762,0.7142857142857143,0.9761904761904762,0.9761904761904762,0.06249621013591009,0.7857142857142857,0.9880952380952381,0.8536585365853658,1.0,0.9210526315789475
optimised,12,0,0.07618791383243663,1.0,0.967741935483871,0.9836065573770492,31,0.95,0.5625,0.8625,0.975,0.054621206413047275,0.8076923076923077,0.975,0.975609756097561,0.975609756097561,0.975609756097561
highest_demand,12,0,0.07591959114235239,1.0,0.8717948717948718,0.9315068493150686,39,0.975,0.5125,0.925,1.0,0.07914471922610693,0.6896551724137931,0.9875,0.8780487804878049,1.0,0.9350649350649352
random,12,0,0.05523176946818005,1.0,0.8378378378378378,0.911764705882353,37,0.9625,0.6875,0.95,0.975,0.07638722973659433,0.7407407407407407,0.9625,0.8536585365853658,1.0,0.9210526315789475
optimised,5,1,0.1394574061829522,0.7555555555555555,1.0,0.8607594936708861,34,0.632183908045977,0.1839080459770115,0.4827586206896552,0.7011494252873564,0.13169008088391557,1.0,0.9770114942528736,1.0,0.76,0.8636363636363636
highest_demand,5,1,0.0749013441837503,1.0,0.9736842105263158,0.9866666666666666,38,0.9885057471264368,0.5747126436781609,0.9310344827586207,0.9885057471264368,0.07381522979392721,0.9130434782608695,0.9885057471264368,0.9736842105263158,0.9736842105263158,0.9736842105263158
random,5,1,0.06799781984294062,0.9696969696969697,0.9411764705882353,0.955223880597015,34,0.896551724137931,0.5862068965517241,0.7931034482758621,0.9885057471264368,0.06739847363935104,0.8947368421052632,0.9885057471264368,0.9473684210526315,0.972972972972973,0.9599999999999999
optimised,8,1,0.1092729594319371,0.9393939393939394,1.0,0.96875,31,0.7380952380952381,0.36904761904761907,0.6071428571428571,0.75,0.10158955822864515,0.8947368421052632,0.9761904761904762,1.0,0.926829268292683,0.9620253164556963
highest_demand,8,1,0.05810572229753434,1.0,0.9210526315789473,0.958904109589041,38,1.0,0.6190476190476191,0.9523809523809523,1.0,0.07027776271912961,0.8695652173913043,0.9761904761904762,0.9210526315789473,0.9722222222222222,0.9459459459459458
random,8,1,0.058052023608548504,1.0,0.9117647058823529,0.9538461538461539,34,0.9523809523809523,0.5476190476190477,0.8571428571428571,1.0,0.07502760507784954,0.8181818181818182,0.9285714285714286,0.9210526315789473,0.9722222222222222,0.9459459459459458
optimised,12,1,0.09911948937293365,0.9032258064516129,1.0,0.9491525423728813,28,0.675,0.3625,0.6375,0.75,0.11235947110904278,1.0,0.9625,1.0,0.9047619047619048,0.9500000000000001
highest_demand,12,1,0.0759600683285799,1.0,0.918918918918919,0.9577464788732395,37,0.8,0.5125,0.725,0.8625,0.08065072220728867,0.8181818181818182,0.9125,0.9210526315789473,0.9722222222222222,0.9459459459459458
random,12,1,0.1047635050114943,0.9166666666666666,1.0,0.9565217391304348,33,0.7875,0.5,0.7,0.8,0.11096829671126157,0.9,0.95,1.0,0.9047619047619048,0.9500000000000001
optimised,5,2,0.0647132734820019,0.9,1.0,0.9473684210526316,27,0.9885057471264368,0.47126436781609193,0.9195402298850575,1.0,0.1567367926789347,1.0,1.0,1.0,0.8823529411764706,0.9375
highest_demand,5,2,0.11061964713545724,0.7631578947368421,1.0,0.8656716417910448,29,0.9425287356321839,0.12643678160919541,0.7701149425287356,0.9770114942528736,0.23254408274446908,1.0,0.9885057471264368,1.0,0.7692307692307693,0.8695652173913044
random,5,2,0.08443839756906006,0.8235294117647058,1.0,0.9032258064516129,28,0.9655172413793104,0.2988505747126437,0.7241379310344828,0.9770114942528736,0.20391826534978016,1.0,0.9885057471264368,1.0,0.8333333333333334,0.9090909090909091
optimised,8,2,0.06049009383788787,0.8928571428571429,1.0,0.9433962264150945,25,0.9285714285714286,0.44047619047619047,0.9047619047619048,0.9642857142857143,0.13238293999698605,1.0,0.9880952380952381,1.0,0.9090909090909091,0.9523809523809523
highest_demand,8,2,0.0556168069986883,0.8787878787878788,1.0,0.9354838709677419,29,1.0,0.75,0.9642857142857143,1.0,0.17448220787298246,0.9473684210526315,1.0,1.0,0.8823529411764706,0.9375
random,8,2,0.07935958318916589,0.8823529411764706,1.0,0.9375,30,0.9404761904761905,0.25,0.8571428571428571,0.9880952380952381,0.1948176452850099,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
optimised,12,2,0.07843129446437248,0.8888888888888888,1.0,0.9411764705882353,24,0.8375,0.1875,0.5625,0.9125,0.15127317883285152,1.0,0.9875,1.0,0.8823529411764706,0.9375
highest_demand,12,2,0.06591451976930855,0.875,1.0,0.9333333333333333,28,0.9875,0.325,0.9125,1.0,0.18941812885038267,1.0,1.0,1.0,0.8823529411764706,0.9375
random,12,2,0.11262473949754015,0.8,1.0,0.888888888888889,24,0.975,0.3125,0.875,0.9875,0.15288068584566522,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
optimised,5,3,0.046692134339317494,0.8611111111111112,1.0,0.9253731343283582,31,1.0,0.7701149425287356,0.9885057471264368,1.0,0.11764549426388732,1.0,0.9770114942528736,1.0,0.8536585365853658,0.9210526315789475
highest_demand,5,3,0.09672842098436649,0.723404255319149,1.0,0.8395061728395062,34,0.9770114942528736,0.5287356321839081,0.9080459770114943,0.9885057471264368,0.1467016295920646,1.0,1.0,1.0,0.7291666666666666,0.8433734939759037
random,5,3,0.08199664572638601,0.8461538461538461,1.0,0.9166666666666666,33,0.9540229885057471,0.3793103448275862,0.8390804597701149,0.9770114942528736,0.13086860845353535,1.0,0.9770114942528736,1.0,0.8536585365853658,0.9210526315789475
optimised,8,3,0.05307388164917093,0.9090909090909091,1.0,0.9523809523809523,30,1.0,0.6071428571428571,0.9285714285714286,1.0,0.13381403634225456,1.0,0.9642857142857143,1.0,0.8536585365853658,0.9210526315789475
highest_demand,8,3,0.08833252142018715,0.7391304347826086,1.0,0.85,34,0.8928571428571429,0.23809523809523808,0.7380952380952381,0.9761904761904762,0.189907419829254,1.0,0.8333333333333334,1.0,0.7,0.8235294117647058
random,8,3,0.10820346932771024,0.6595744680851063,1.0,0.7948717948717948,31,0.6190476190476191,0.11904761904761904,0.42857142857142855,0.7023809523809523,0.23445778330079184,1.0,0.47619047619047616,1.0,0.6730769230769231,0.8045977011494253
optimised,12,3,0.12463643117091754,0.7714285714285715,1.0,0.870967741935484,27,0.6,0.15,0.35,0.775,0.24196547100373014,1.0,0.4875,1.0,0.7446808510638298,0.8536585365853657
highest_demand,12,3,0.08977163240548394,0.7674418604651163,1.0,0.868421052631579,33,0.7375,0.3,0.575,0.8375,0.18404739180803303,1.0,0.7375,1.0,0.7446808510638298,0.8536585365853657
random,12,3,0.08586878711547098,0.7380952380952381,1.0,0.8493150684931507,31,0.925,0.325,0.775,1.0,0.14762476469656258,1.0,0.975,1.0,0.7291666666666666,0.8433734939759037
optimised,5,4,0.0933968341171535,0.8709677419354839,1.0,0.9310344827586207,27,0.8160919540229885,0.3333333333333333,0.7011494252873564,0.9425287356321839,0.1886602575488283,1.0,0.9770114942528736,1.0,0.8333333333333334,0.9090909090909091
highest_demand,5,4,0.09505576203828942,0.90625,1.0,0.9508196721311475,29,0.9425287356321839,0.6551724137931034,0.896551724137931,0.9655172413793104,0.13685538181057474,0.6666666666666666,0.9770114942528736,1.0,0.9090909090909091,0.9523809523809523
random,5,4,0.16073039161333066,0.7105263157894737,1.0,0.8307692307692308,27,0.896551724137931,0.2413793103448276,0.5632183908045977,0.9770114942528736,0.2807632538331333,1.0,0.9195402298850575,1.0,0.7142857142857143,0.8333333333333333
optimised,8,4,0.13679363391051022,0.7878787878787878,1.0,0.8813559322033898,26,0.47619047619047616,0.27380952380952384,0.40476190476190477,0.5714285714285714,0.21740228477223422,1.0,0.8690476190476191,1.0,0.7317073170731707,0.8450704225352113
highest_demand,8,4,0.07731829551765042,0.8787878787878788,1.0,0.9354838709677419,29,1.0,0.7261904761904762,0.8928571428571429,1.0,0.19265067172791533,0.8666666666666667,0.9880952380952381,1.0,0.8823529411764706,0.9375
random,8,4,0.07443978316913691,0.8529411764705882,1.0,0.9206349206349206,29,1.0,0.7261904761904762,0.9880952380952381,1.0,0.13551852073451034,1.0,0.9880952380952381,1.0,0.8108108108108109,0.8955223880597014
optimised,12,4,0.09719773951670052,0.8888888888888888,1.0,0.9411764705882353,24,0.7,0.2875,0.575,0.8,0.24833395683605994,1.0,0.4,1.0,0.8108108108108109,0.8955223880597014
highest_demand,12,4,0.12248227668590393,0.7567567567567568,1.0,0.8615384615384616,28,0.75,0.3625,0.575,0.8,0.23841519308881248,1.0,0.7375,1.0,0.7692307692307693,0.8695652173913044
random,12,4,0.12941234886297667,0.7142857142857143,1.0,0.8333333333333333,25,0.6875,0.1875,0.4625,0.9375,0.19778284150352765,1.0,0.975,1.0,0.7317073170731707,0.8450704225352113
optimised,5,5,0.0801082955870081,0.9354838709677419,1.0,0.9666666666666666,29,0.8045977011494253,0.5862068965517241,0.7471264367816092,0.9310344827586207,0.09978552206992418,0.8461538461538461,0.9770114942528736,1.0,0.9444444444444444,0.9714285714285714
highest_demand,5,5,0.0950130194698322,0.8461538461538461,1.0,0.9166666666666666,33,0.9770114942528736,0.6206896551724138,0.896551724137931,0.9885057471264368,0.11757436542547359,0.8620689655172413,0.9885057471264368,1.0,0.85,0.9189189189189189
random,5,5,0.13323622513075803,0.7619047619047619,1.0,0.8648648648648648,32,0.7931034482758621,0.45977011494252873,0.6436781609195402,0.8275862068965517,0.17171256598449042,0.9642857142857143,0.9770114942528736,1.0,0.7727272727272727,0.8717948717948718
optimised,8,5,0.12117547721513157,0.8064516129032258,0.9259259259259259,0.8620689655172414,27,0.7619047619047619,0.5,0.6904761904761905,0.7976190476190477,0.12796765123319706,0.88,0.9166666666666666,0.9117647058823529,0.8157894736842105,0.861111111111111
highest_demand,8,5,0.08907865834776268,0.9166666666666666,1.0,0.9565217391304348,33,0.9761904761904762,0.6547619047619048,0.8809523809523809,0.9761904761904762,0.12769911815455648,0.8620689655172413,0.9642857142857143,1.0,0.918918918918919,0.9577464788732395
random,8,5,0.07320328391082057,0.7837837837837838,1.0,0.8787878787878788,29,0.8928571428571429,0.36904761904761907,0.8452380952380952,0.9761904761904762,0.12524627432103289,0.8,0.9761904761904762,1.0,0.7906976744186046,0.8831168831168831
optimised,12,5,0.08194218197273938,0.9259259259259259,1.0,0.9615384615384615,25,0.975,0.6375,0.8875,1.0,0.10827678399617852,0.8695652173913043,0.9875,0.9705882352941176,0.9166666666666666,0.9428571428571428
highest_demand,12,5,0.06826510436983037,0.9142857142857143,1.0,0.955223880597015,32,0.925,0.5125,0.85,0.975,0.1204120993918977,0.8928571428571429,0.95,1.0,0.8947368421052632,0.9444444444444444
random,12,5,0.12560201032146456,0.7317073170731707,1.0,0.8450704225352113,30,0.7125,0.125,0.4625,0.825,0.15561167964569103,1.0,0.9625,1.0,0.7391304347826086,0.85
optimised,5,6,0.02902063582928264,1.0,1.0,1.0,30,1.0,0.8390804597701149,1.0,1.0,0.1344475409466581,0.7777777777777778,1.0,1.0,0.9705882352941176,0.9850746268656716
highest_demand,5,6,0.04120510028424302,0.9696969696969697,1.0,0.9846153846153847,32,1.0,0.8735632183908046,0.9885057471264368,1.0,0.13254218961364106,0.7,1.0,1.0,0.9705882352941176,0.9850746268656716
random,5,6,0.03862715895678484,1.0,1.0,1.0,32,1.0,0.8850574712643678,0.9885057471264368,1.0,0.15936807067163133,0.7,0.9770114942528736,1.0,1.0,1.0
optimised,8,6,0.03352180705711178,1.0,1.0,1.0,29,1.0,0.7976190476190477,0.9761904761904762,1.0,0.1440923125351435,1.0,0.9880952380952381,1.0,0.9428571428571428,0.9705882352941176
highest_demand,8,6,0.04640391097471725,0.9142857142857143,1.0,0.955223880597015,32,1.0,0.7857142857142857,1.0,1.0,0.16277409149807093,1.0,1.0,1.0,0.9166666666666666,0.9565217391304348
random,8,6,0.060410745613065295,0.9090909090909091,1.0,0.9523809523809523,30,0.9642857142857143,0.4642857142857143,0.8452380952380952,1.0,0.1829057993323642,1.0,0.9523809523809523,1.0,0.868421052631579,0.9295774647887324
optimised,12,6,0.06191729264193066,1.0,0.9629629629629629,0.9811320754716981,27,0.9625,0.675,0.9375,0.975,0.19321532445191308,0.4375,0.9,0.9393939393939394,1.0,0.96875
highest_demand,12,6,0.04540237115136651,0.9117647058823529,1.0,0.9538461538461539,31,1.0,0.7,1.0,1.0,0.16002168842370895,1.0,1.0,1.0,0.9166666666666666,0.9565217391304348
random,12,6,0.053954616275154375,0.9,1.0,0.9473684210526316,27,0.9375,0.475,0.7875,0.9625,0.16486337215667157,1.0,0.9375,1.0,0.9166666666666666,0.9565217391304348
optimised,5,7,0.07436345775616823,0.9333333333333333,1.0,0.9655172413793104,28,0.9770114942528736,0.6436781609195402,0.8505747126436781,1.0,0.12942908644800125,0.7272727272727273,1.0,1.0,0.9393939393939394,0.96875
highest_demand,5,7,0.0636324453152463,0.9090909090909091,1.0,0.9523809523809523,30,1.0,0.6781609195402298,1.0,1.0,0.1547225516961964,0.75,1.0,1.0,0.9117647058823529,0.9538461538461539
random,5,7,0.0565694980954091,0.9393939393939394,1.0,0.96875,31,1.0,0.7126436781609196,1.0,1.0,0.14755577848415824,0.5416666666666666,1.0,1.0,0.9393939393939394,0.96875
optimised,8,7,0.0714591396301154,1.0,0.9629629629629629,0.9811320754716981,27,0.9285714285714286,0.6071428571428571,0.7976190476190477,0.9761904761904762,0.12717377199153515,0.5909090909090909,1.0,0.967741935483871,1.0,0.9836065573770492
highest_demand,8,7,0.05736601688627223,0.9090909090909091,1.0,0.9523809523809523,30,1.0,0.7261904761904762,0.9761904761904762,1.0,0.1539324830832549,0.625,1.0,1.0,0.9117647058823529,0.9538461538461539
random,8,7,0.08731328412599497,0.9032258064516129,1.0,0.9491525423728813,28,0.9642857142857143,0.5,0.8214285714285714,1.0,0.15236157347010443,0.8571428571428571,1.0,1.0,0.9117647058823529,0.9538461538461539
optimised,12,7,0.06298563567840373,0.9230769230769231,1.0,0.9600000000000001,24,0.9625,0.65,0.925,0.9625,0.11878921324480737,0.5263157894736842,1.0,1.0,0.9393939393939394,0.96875
highest_demand,12,7,0.05742455037719654,0.90625,1.0,0.9508196721311475,29,1.0,0.625,0.9625,1.0,0.15549510217276794,0.8260869565217391,1.0,1.0,0.9117647058823529,0.9538461538461539
random,12,7,0.056244234453685225,0.9285714285714286,1.0,0.962962962962963,26,1.0,0.675,0.9875,1.0,0.10204907623884008,0.8,0.9875,1.0,0.9393939393939394,0.96875
