model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,map_kb,map_kw,map_gamma
nearest_sample,random,4,2,0.2773109849386839,0.19602922402570544,0.17391304347826086,0.25,0.20512820512820512,16,,,,
decay_only,random,4,2,0.17228425684314896,0.1317286719399956,0.9333333333333333,0.875,0.9032258064516129,16,,,,
simgp_core,random,5,2,0.046198925814242967,0.03309218803049115,0.9333333333333333,0.875,0.9032258064516129,16,0.8275862068965517,0.4,0.6,1.0
physgp_core,random,5,2,0.1788298892004689,0.13380431238687965,0.9333333333333333,0.875,0.9032258064516129,16,0.735632183908046,,,
physgp_rich,random,5,2,0.18093057249672742,0.13566516388186828,0.9333333333333333,0.875,0.9032258064516129,16,0.7931034482758621,,,
simgp_rich,random,5,2,0.046219242524495135,0.03312893867049994,0.9333333333333333,0.875,0.9032258064516129,16,0.9425287356321839,,,
pinn_rich,random,5,2,0.22573991550754388,0.16476288131170383,1.0,0.1875,0.3157894736842105,16,0.42528735632183906,,,
mean_of_samples,random,5,2,0.29309433917636624,0.23508173988828102,1.0,0.0,0.0,16,,,,
nearest_sample,random,5,2,0.27973009968313634,0.1996055003607886,0.07142857142857142,0.0625,0.06666666666666667,16,,,,
decay_only,random,5,2,0.18329570906764478,0.14082256985617086,0.9333333333333333,0.875,0.9032258064516129,16,,,,
simgp_core,random,6,2,0.04606978351141636,0.032775464953862715,0.9333333333333333,0.875,0.9032258064516129,16,0.8255813953488372,0.4,0.6,1.0
physgp_core,random,6,2,0.16458548819028368,0.12328155272236446,0.875,0.875,0.875,16,0.7906976744186046,,,
physgp_rich,random,6,2,0.16797046362777696,0.127894680340119,0.875,0.875,0.875,16,0.7441860465116279,,,
simgp_rich,random,6,2,0.04702525761909446,0.032565209892527466,0.9333333333333333,0.875,0.9032258064516129,16,0.9418604651162791,,,
mean_of_samples,random,6,2,0.27545245618002884,0.22338147576035092,1.0,0.0,0.0,16,,,,
nearest_sample,random,6,2,0.27106692874479066,0.18727482125593212,0.07142857142857142,0.0625,0.06666666666666667,16,,,,
