model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp24,straddle_min,3,2,0.06466978789268825,0.5,0.375,0.42857142857142855,8,1.0,0.65625,1.0,1.0,0.17608115514206427,1.0,0.6875,0.25,0.1,0.0,1.15,0.9,1.0
simgp24,straddle_min,4,2,0.09283966670482001,0.75,0.42857142857142855,0.5454545454545454,7,1.0,0.6129032258064516,0.8709677419354839,1.0,0.19878767903051767,1.0,0.8709677419354839,0.1,0.1,0.0,1.0,1.0,0.95
simgp24,straddle_min,5,2,0.08763595704615951,0.6,0.42857142857142855,0.5,7,0.8666666666666667,0.5,0.8333333333333334,0.9666666666666667,0.20200582780901027,1.0,0.8,0.1,0.1,0.0,1.0,1.0,0.9
simgp24,straddle_min,6,2,0.10227107022292586,0.6666666666666666,0.2857142857142857,0.4,7,0.9310344827586207,0.27586206896551724,0.7931034482758621,1.0,0.19529767793906186,1.0,0.7586206896551724,0.1,0.1,0.0,1.0,1.0,1.0
simgp24,straddle_min,7,2,0.16671737755438001,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,0.7857142857142857,0.21428571428571427,0.5714285714285714,0.8928571428571429,0.4396398308363073,1.0,0.5357142857142857,0.1,0.1,0.5,1.15,1.0,0.9
simgp24,straddle_min,8,2,0.11305655204053637,0.5,0.2,0.28571428571428575,5,0.8888888888888888,0.4444444444444444,0.8518518518518519,1.0,0.28290072498437313,1.0,0.9259259259259259,0.1,0.1,0.5,1.15,1.0,0.9
simgp24,straddle_min,9,2,0.09758812447270536,1.0,0.2,0.33333333333333337,5,0.9615384615384616,0.6923076923076923,0.9230769230769231,0.9615384615384616,0.18850403218022482,1.0,1.0,0.1,0.1,0.5,1.15,1.0,0.9
simgp24,straddle_min,10,2,0.10109965433057685,1.0,0.25,0.4,4,0.96,0.64,0.96,0.96,0.18403959807549436,1.0,1.0,0.1,0.1,0.5,1.15,1.0,0.9
simgp24,straddle_min,11,2,0.09854134047861204,1.0,0.25,0.4,4,0.9583333333333334,0.5416666666666666,0.9583333333333334,0.9583333333333334,0.18969069603806876,1.0,1.0,0.1,0.1,0.0,1.15,1.0,0.9
simgp24,straddle_min,12,2,0.08505474094265912,1.0,0.3333333333333333,0.5,3,1.0,0.6086956521739131,0.8695652173913043,1.0,0.08660021669190694,1.0,1.0,0.1,0.1,0.5,1.15,1.0,0.9
simgp24,straddle_min,13,2,0.11531884076836332,1.0,0.0,0.0,2,0.8636363636363636,0.4090909090909091,0.8181818181818182,0.9545454545454546,0.2531883388809571,1.0,0.9090909090909091,0.1,0.1,0.5,1.15,1.0,0.9
simgp24,straddle_min,14,2,0.07365853590027889,1.0,0.0,0.0,1,0.9047619047619048,0.6190476190476191,0.8571428571428571,0.9523809523809523,0.08461930688643286,1.0,1.0,0.1,0.1,0.5,1.15,1.0,0.9
simgp24,straddle_min,15,2,0.07497063747163851,1.0,0.0,0.0,1,0.95,0.6,0.85,1.0,0.08653298322515465,1.0,1.0,0.1,0.1,1.0,1.15,1.0,0.95
simgp24,random,3,3,0.07528066980382302,0.75,1.0,0.8571428571428571,3,1.0,0.96875,1.0,1.0,0.08305290017595894,0.0,1.0,0.1,0.1,0.0,1.0,0.9,1.1
simgp24_g75,random,3,3,0.15487598902278946,1.0,0.0,0.0,3,0.4375,0.1875,0.34375,0.5,,,,,,,,,
simgp_timeblind,random,3,3,0.2593520062541056,1.0,0.0,0.0,3,0.75,,,,0.38796569340268594,0.0,0.65625,,,,,,
mean_of_samples,random,3,3,0.2898583033221218,1.0,0.0,0.0,3,0.0,,,,0.4180013106420769,0.0,0.0,,,,,,
simgp24,random,4,3,0.08257159404866773,1.0,0.6666666666666666,0.8,3,1.0,0.6129032258064516,0.8709677419354839,1.0,0.20256189803866156,0.0,1.0,0.1,0.1,0.0,1.0,0.9,1.1
simgp24_g75,random,4,3,0.1503902341924533,1.0,0.0,0.0,3,0.41935483870967744,0.16129032258064516,0.3225806451612903,0.4838709677419355,,,,,,,,,
simgp_timeblind,random,4,3,0.3217142291550164,1.0,0.0,0.0,3,0.41935483870967744,,,,0.3668074435723007,0.0,0.6451612903225806,,,,,,
mean_of_samples,random,4,3,0.30455215725860774,1.0,0.0,0.0,3,0.0,,,,0.408594914279616,0.0,0.0,,,,,,
simgp24,random,5,3,0.14697820437712017,1.0,0.0,0.0,3,0.7666666666666667,0.3333333333333333,0.5,0.8333333333333334,0.16846726858420363,0.0,0.9333333333333333,0.1,0.1,0.0,1.0,0.9,1.05
simgp24_g75,random,5,3,0.1512954375159528,1.0,0.0,0.0,3,0.4,0.23333333333333334,0.36666666666666664,0.5,,,,,,,,,
simgp_timeblind,random,5,3,0.3437052734762474,1.0,0.0,0.0,3,0.36666666666666664,,,,0.3429802634219721,0.0,0.7333333333333333,,,,,,
mean_of_samples,random,5,3,0.28327561700294646,1.0,0.0,0.0,3,0.0,,,,0.4279916617235049,0.0,0.0,,,,,,
simgp24,random,6,3,0.08949910487669765,1.0,0.6666666666666666,0.8,3,1.0,0.7241379310344828,0.9655172413793104,1.0,0.12664733059649264,0.0,1.0,0.1,0.1,0.0,1.0,0.9,1.05
simgp24_g75,random,6,3,0.12648374245196145,1.0,0.0,0.0,3,0.3448275862068966,0.20689655172413793,0.3448275862068966,0.5517241379310345,,,,,,,,,
simgp_timeblind,random,6,3,0.5004912519794333,1.0,0.0,0.0,3,0.3103448275862069,,,,0.30143625018427145,0.0,0.8275862068965517,,,,,,
mean_of_samples,random,6,3,0.34096324224663743,1.0,0.0,0.0,3,0.0,,,,0.37999422536552424,0.0,0.0,,,,,,
simgp24,random,7,3,0.09866667733803612,1.0,0.5,0.6666666666666666,2,0.9642857142857143,0.6071428571428571,0.9285714285714286,1.0,0.13059719654432658,0.0,1.0,0.1,0.1,0.0,1.0,0.9,1.0
simgp24_g75,random,7,3,0.11909318652594623,1.0,0.0,0.0,2,0.6071428571428571,0.32142857142857145,0.39285714285714285,0.6428571428571429,,,,,,,,,
simgp_timeblind,random,7,3,0.4494606480575935,1.0,0.5,0.6666666666666666,2,0.39285714285714285,,,,0.2741958210484608,1.0,0.9285714285714286,,,,,,
mean_of_samples,random,7,3,0.3011177086946343,1.0,0.0,0.0,2,0.0,,,,0.4093187573247143,0.0,0.0,,,,,,
simgp24,random,8,3,0.06931384688806146,1.0,0.5,0.6666666666666666,2,0.9629629629629629,0.5925925925925926,0.9259259259259259,0.9629629629629629,0.15091699105880704,0.0,1.0,0.1,0.1,0.0,1.0,0.9,0.95
simgp24_g75,random,8,3,0.11820453323893694,1.0,0.0,0.0,2,0.5185185185185185,0.2222222222222222,0.37037037037037035,0.6296296296296297,,,,,,,,,
