model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,coverage50,coverage80,coverage95,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose,recall_all
simgp_core,uncertainty,15,1,0.04972433718637761,0.031344179935942074,1.0,1.0,1.0,0,1.0,0.8,0.95,1.0,0.1,0.3,1.0,1.0,0.9,1.0,1.0
simgp_core,straddle,3,1,0.08646020186769962,0.07018873500129988,1.0,0.25,0.4,4,1.0,0.71875,1.0,1.0,0.1,0.3,0.0,0.85,1.1,1.1,0.2
simgp_core,straddle,4,1,0.10363303703740034,0.07282504293645092,1.0,0.0,0.0,3,1.0,0.6451612903225806,0.967741935483871,1.0,0.1,0.3,0.0,0.85,0.9,1.0,0.2
simgp_core,straddle,5,1,0.06776739464019195,0.04322333519614626,1.0,0.3333333333333333,0.5,3,0.9666666666666667,0.8666666666666667,0.9666666666666667,1.0,0.1,0.3,1.0,1.15,1.0,1.05,0.4
simgp_core,straddle,6,1,0.06341197340830619,0.036973207880784724,1.0,0.5,0.6666666666666666,2,0.9655172413793104,0.896551724137931,0.9655172413793104,1.0,0.25,0.3,0.5,1.15,1.0,1.1,0.6
simgp_core,straddle,7,1,0.06984472665548905,0.03635445099041042,1.0,0.5,0.6666666666666666,2,0.9285714285714286,0.8571428571428571,0.9285714285714286,1.0,0.25,0.3,0.5,1.15,1.1,1.1,0.6
simgp_core,straddle,8,1,0.06551572489484303,0.03933728082289027,1.0,0.0,0.0,1,0.9629629629629629,0.8518518518518519,0.9629629629629629,1.0,0.25,0.3,0.5,1.15,1.1,1.1,0.6
simgp_core,straddle,9,1,0.07231008169167356,0.037596722446683925,1.0,0.0,0.0,1,0.9230769230769231,0.8076923076923077,0.9230769230769231,0.9615384615384616,0.25,0.3,0.5,1.15,1.1,1.1,0.6
simgp_core,straddle,10,1,0.07028653102251309,0.04793896471004722,1.0,0.0,0.0,1,0.96,0.76,0.96,1.0,0.25,0.3,0.5,1.15,1.1,1.1,0.6
simgp_core,straddle,11,1,0.07464746786352529,0.05219491051414386,1.0,0.0,0.0,1,0.9583333333333334,0.75,0.9583333333333334,1.0,0.25,0.3,0.5,1.15,1.0,1.1,0.6
simgp_core,straddle,12,1,0.0762451040055236,0.05444821942082342,1.0,0.0,0.0,1,0.9565217391304348,0.6956521739130435,0.9565217391304348,1.0,0.25,0.3,0.5,1.15,1.1,1.1,0.6
simgp_core,straddle,13,1,0.07796315522257335,0.05683810362779747,1.0,0.0,0.0,1,0.9545454545454546,0.6818181818181818,0.9545454545454546,1.0,0.25,0.3,0.5,1.15,1.1,1.1,0.6
simgp_core,straddle,14,1,0.07844499852981096,0.05506963705033022,1.0,0.0,0.0,1,0.9523809523809523,0.7142857142857143,0.9523809523809523,1.0,0.25,0.3,0.5,1.15,1.1,1.1,0.6
simgp_core,straddle,15,1,0.08026390247471393,0.05604866787735674,1.0,0.0,0.0,1,0.95,0.7,0.95,1.0,0.25,0.3,0.5,1.15,1.1,1.1,0.6
simgp_core,random,3,2,0.07751775950409803,0.05784497929532451,1.0,1.0,1.0,0,1.0,0.875,1.0,1.0,0.1,0.1,1.0,0.85,1.1,1.1,0.0
simgp_core_nogp,random,3,2,0.07824399026330209,0.05857184006429875,1.0,1.0,1.0,0,1.0,0.78125,1.0,1.0,,,,,,,
simgp_core_g75,random,3,2,0.09357195874507991,0.06646823981613834,1.0,1.0,1.0,0,0.90625,0.625,0.875,0.9375,,,,,,,
physgp_core,random,3,2,0.9201387797225128,0.6509965454631046,1.0,1.0,1.0,0,0.3125,0.03125,0.1875,0.3125,,,,,,,
physgp_rich,random,3,2,0.9196534329888375,0.6430723520751764,1.0,1.0,1.0,0,0.5,0.1875,0.4375,0.5,,,,,,,
simgp_rich,random,3,2,0.07658364879782273,0.05436665040468551,1.0,1.0,1.0,0,1.0,0.84375,1.0,1.0,,,,,,,
pinn_rich,random,3,2,0.23335419184413936,0.16762331564185107,1.0,1.0,1.0,0,0.09375,0.03125,0.0625,0.1875,,,,,,,
mean_of_samples,random,3,2,0.23807017690297305,0.16546657298921208,1.0,1.0,1.0,0,,,,,,,,,,,
nearest_sample,random,3,2,0.21550654300975752,0.16062677363715808,1.0,1.0,1.0,0,,,,,,,,,,,
decay_only,random,3,2,0.9198204035653661,0.6468561151805677,1.0,1.0,1.0,0,,,,,,,,,,,
simgp_core,random,4,2,0.07651426647540159,0.05738457565597204,1.0,1.0,1.0,0,1.0,0.7741935483870968,0.967741935483871,1.0,0.1,0.3,0.5,1.15,1.1,1.1,0.0
simgp_core_nogp,random,4,2,0.0765142806481647,0.057384618192261504,1.0,1.0,1.0,0,1.0,0.7741935483870968,0.967741935483871,1.0,,,,,,,
simgp_core_g75,random,4,2,0.09509179916046942,0.06588799401691142,1.0,1.0,1.0,0,0.7741935483870968,0.4838709677419355,0.7419354838709677,0.8709677419354839,,,,,,,
physgp_core,random,4,2,0.9652813356117955,0.6883541336409095,1.0,1.0,1.0,0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,,,,,,,
physgp_rich,random,4,2,0.9652736614497117,0.6881151252193518,1.0,1.0,1.0,0,0.3870967741935484,0.06451612903225806,0.25806451612903225,0.41935483870967744,,,,,,,
simgp_rich,random,4,2,0.07653172989494694,0.056624240015416,1.0,1.0,1.0,0,1.0,0.7741935483870968,1.0,1.0,,,,,,,
mean_of_samples,random,4,2,0.23811461764754271,0.16744266351265807,1.0,1.0,1.0,0,,,,,,,,,,,
nearest_sample,random,4,2,0.21638952830621636,0.15780464408311454,1.0,1.0,1.0,0,,,,,,,,,,,
decay_only,random,4,2,0.965281336348653,0.6883541587583678,1.0,1.0,1.0,0,,,,,,,,,,,
simgp_core,random,5,2,0.08209379741712507,0.06251503850527121,1.0,1.0,1.0,0,0.9666666666666667,0.7333333333333333,0.9,1.0,0.1,0.3,0.0,1.0,0.9,1.1,0.0
simgp_core_nogp,random,5,2,0.082093623247129,0.06251509936780647,1.0,1.0,1.0,0,0.9666666666666667,0.7333333333333333,0.9,1.0,,,,,,,
simgp_core_g75,random,5,2,0.09221713644700223,0.061806956187552824,1.0,1.0,1.0,0,0.7666666666666667,0.5,0.7,0.8666666666666667,,,,,,,
physgp_core,random,5,2,0.165696003834169,0.11296467204049429,1.0,1.0,1.0,0,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.06666666666666667,,,,,,,
