model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp24_g75,random,13,0,0.11035223394539283,0.9333333333333333,0.8235294117647058,0.8749999999999999,34,0.7848101265822784,0.26582278481012656,0.5949367088607594,0.8607594936708861,,,,,,,,,
simgp_timeblind,random,13,0,0.2705512084377946,1.0,0.23529411764705882,0.38095238095238093,34,0.3037974683544304,,,,0.22287404772591324,0.3076923076923077,0.4810126582278481,,,,,,
mean_of_samples,random,13,0,0.385666860535629,1.0,0.0,0.0,34,0.0,,,,0.34375860659419133,0.0,0.0,,,,,,
simgp24,random,14,0,0.04526830583249698,0.9714285714285714,1.0,0.9855072463768115,34,0.9871794871794872,0.7051282051282052,0.9743589743589743,1.0,0.04539976197056943,0.9230769230769231,1.0,0.7,0.6,1.0,0.85,0.9,1.1
simgp24_g75,random,14,0,0.12029531466472011,0.9333333333333333,0.8235294117647058,0.8749999999999999,34,0.7692307692307693,0.20512820512820512,0.5769230769230769,0.8589743589743589,,,,,,,,,
simgp_timeblind,random,14,0,0.26779005848813225,1.0,0.23529411764705882,0.38095238095238093,34,0.3076923076923077,,,,0.2203878465430777,0.3076923076923077,0.48717948717948717,,,,,,
mean_of_samples,random,14,0,0.4008795971628599,1.0,0.0,0.0,34,0.0,,,,0.3568572406466418,0.0,0.0,,,,,,
simgp24,random,15,0,0.04257748301414886,0.9714285714285714,1.0,0.9855072463768115,34,0.987012987012987,0.6753246753246753,0.974025974025974,1.0,0.04399723804178664,0.9230769230769231,1.0,0.7,0.6,1.0,0.85,0.9,1.1
simgp24_g75,random,15,0,0.11294960473619743,0.9333333333333333,0.8235294117647058,0.8749999999999999,34,0.6363636363636364,0.23376623376623376,0.4935064935064935,0.7402597402597403,,,,,,,,,
simgp_timeblind,random,15,0,0.26944268271185584,1.0,0.23529411764705882,0.38095238095238093,34,0.2987012987012987,,,,0.2217139250382911,0.3076923076923077,0.4675324675324675,,,,,,
mean_of_samples,random,15,0,0.430977755862057,1.0,0.0,0.0,34,0.0,,,,0.381437355555517,0.0,0.0,,,,,,
